collection_id,loan_id,collector_id,action_date,action_type,outcome,promised_amount,next_action_date,escalation_level,source_system,record_created_at
COL0000001,LOAN0007554,AGENT021,2021-01-16,Letter,Promise to Pay,18088.39,2024-07-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.212829
COL0000002,LOAN0011730,AGENT007,2021-11-07,Email,Partial Payment,49995.21,2022-11-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.212892
COL0000003,LOAN0010123,AGENT015,2020-10-09,SMS,Partial Payment,46142.99,2020-10-21,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.212940
COL0000004,LOAN0000793,AGENT006,2024-09-04,Restructure Offer,No Contact,19765.19,2019-03-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213000
COL0000005,LOAN0015726,AGENT008,2019-11-12,Outbound Call,Agreed Arrangement,34405.31,2022-07-18,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213046
COL0000006,LOAN0010571,AGENT016,2021-05-29,Email,Promise to Pay,38383.06,2024-05-26,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.213082
COL0000007,LOAN0009311,AGENT027,2023-02-25,Outbound Call,Promise to Pay,42637.5,2022-12-25,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213124
COL0000008,LOAN0002598,AGENT030,2023-12-21,Outbound Call,Partial Payment,3972.9,2024-03-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213157
COL0000009,LOAN0007728,AGENT016,2019-06-07,Outbound Call,No Contact,9121.35,2019-06-13,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213191
COL0000010,LOAN0016753,AGENT004,2023-01-05,Letter,Partial Payment,15779.35,2020-02-13,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.213224
COL0000011,LOAN0004302,AGENT028,2022-09-28,Outbound Call,Promise to Pay,38057.85,2023-02-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213258
COL0000012,LOAN0007022,AGENT013,2019-02-05,Legal Notice,No Contact,12015.82,2023-06-10,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213292
COL0000013,LOAN0008555,AGENT009,2023-04-29,Email,Paid in Full,10658.73,2019-05-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213352
COL0000014,LOAN0002588,AGENT008,2024-09-30,SMS,No Contact,37907.68,2023-08-08,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213409
COL0000015,LOAN0009705,AGENT026,2020-01-10,Outbound Call,Partial Payment,36463.1,2019-05-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213461
COL0000016,LOAN0016182,AGENT002,2020-01-18,Outbound Call,Partial Payment,31542.32,2019-02-07,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.213495
COL0000017,LOAN0008555,AGENT005,2019-06-01,Outbound Call,Partial Payment,18555.46,2022-08-18,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.213529
COL0000018,LOAN0006618,AGENT003,2021-08-17,SMS,Dispute Raised,38215.97,2022-08-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213562
COL0000019,LOAN0010792,AGENT024,2023-11-13,SMS,Promise to Pay,19775.66,2021-04-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213606
COL0000020,LOAN0012334,AGENT021,2024-07-27,Promise to Pay Follow-Up,Promise to Pay,40322.39,2024-01-18,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.213641
COL0000021,LOAN0014727,AGENT009,2019-06-22,Outbound Call,Promise to Pay,29029.5,2021-12-19,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213673
COL0000022,LOAN0002956,AGENT030,2020-08-20,Email,Paid in Full,7872.85,2021-09-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213708
COL0000023,LOAN0013422,AGENT013,2019-04-26,Outbound Call,Promise to Pay,24635.99,2024-05-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213743
COL0000024,LOAN0017682,AGENT019,2020-09-14,Legal Notice,Relocated,8591.47,2019-09-08,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213780
COL0000025,LOAN0017987,AGENT011,2024-11-20,Email,Promise to Pay,22963.83,2024-08-14,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.213813
COL0000026,LOAN0004052,AGENT003,2022-08-22,Email,Partial Payment,33772.23,2020-04-22,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213847
COL0000027,LOAN0008672,AGENT023,2021-02-26,Restructure Offer,Paid in Full,26420.96,2019-04-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213884
COL0000028,LOAN0011730,AGENT005,2019-11-12,Outbound Call,No Contact,33929.76,2021-04-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213925
COL0000029,LOAN0014726,AGENT004,2023-03-27,Email,Partial Payment,10275.12,2019-10-02,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.213965
COL0000030,LOAN0014118,AGENT004,2022-04-20,Letter,Partial Payment,23506.89,2020-09-08,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214013
COL0000031,LOAN0001376,AGENT006,2022-01-12,Restructure Offer,Relocated,7174.34,2019-02-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214075
COL0000032,LOAN0008786,AGENT020,2021-09-26,SMS,Partial Payment,44655.42,2020-05-11,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214123
COL0000033,LOAN0006230,AGENT023,2022-02-12,SMS,Promise to Pay,39396.1,2024-04-01,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214157
COL0000034,LOAN0016906,AGENT004,2020-09-08,Outbound Call,Promise to Pay,17827.8,2021-01-14,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214200
