default_id,loan_id,default_date,default_reason,outstanding_at_default,recovery_amount,recovery_status,days_to_default,npl_classification,provision_amount,source_system,record_created_at
DEF0000001,LOAN0007148,2024-12-28,Overcommitment,817197.49,7555.33,Partially Recovered,878,Loss,186503.26,RISK_MANAGEMENT,2026-04-18 13:21:59.602686
DEF0000002,LOAN0009826,2021-10-11,Overcommitment,98136.38,18453.63,Legal Recovery In Progress,725,Doubtful,479371.22,RISK_MANAGEMENT,2026-04-18 13:21:59.602747
DEF0000003,LOAN0014760,2021-11-03,Job Loss,739771.07,51120.01,Partially Recovered,1523,Substandard,70218.7,RISK_MANAGEMENT,2026-04-18 13:21:59.602790
DEF0000004,LOAN0009738,2019-08-04,Medical Emergency,954612.29,193723.42,Sold to Debt Buyer,593,Substandard,198803.36,RISK_MANAGEMENT,2026-04-18 13:21:59.602859
DEF0000005,LOAN0000619,2019-05-16,Job Loss,1743763.8,847956.31,Fully Recovered,127,Doubtful,273060.89,RISK_MANAGEMENT,2026-04-18 13:21:59.602909
DEF0000006,LOAN0005618,2024-10-15,Divorce,369896.06,191278.26,Written-Off,1492,Doubtful,489464.53,RISK_MANAGEMENT,2026-04-18 13:21:59.602960
DEF0000007,LOAN0003631,2020-09-07,Job Loss,952206.78,2502.26,Partially Recovered,741,Substandard,235440.1,RISK_MANAGEMENT,2026-04-18 13:21:59.602997
DEF0000008,LOAN0001860,2019-11-09,Economic Downturn,294210.93,138241.04,Written-Off,507,Doubtful,275081.5,RISK_MANAGEMENT,2026-04-18 13:21:59.603033
DEF0000009,LOAN0002990,2023-07-08,Economic Downturn,1012492.51,302999.01,Legal Recovery In Progress,898,Substandard,250847.97,RISK_MANAGEMENT,2026-04-18 13:21:59.603070
DEF0000010,LOAN0014571,2019-08-26,Fraud,854697.01,39515.63,Partially Recovered,241,Loss,36765.51,RISK_MANAGEMENT,2026-04-18 13:21:59.603107
DEF0000011,LOAN0009382,2021-09-07,Job Loss,1163568.26,545768.12,Written-Off,676,Doubtful,51119.33,RISK_MANAGEMENT,2026-04-18 13:21:59.603143
DEF0000012,LOAN0000191,2019-04-21,Business Failure,477126.02,83645.72,Legal Recovery In Progress,1124,Substandard,385855.72,RISK_MANAGEMENT,2026-04-18 13:21:59.603179
DEF0000013,LOAN0003856,2023-09-30,Unknown,49613.29,22540.64,Legal Recovery In Progress,726,Doubtful,278921.5,RISK_MANAGEMENT,2026-04-18 13:21:59.603215
DEF0000014,LOAN0004164,2024-03-26,Job Loss,1161681.35,322237.39,Written-Off,150,Substandard,427643.12,RISK_MANAGEMENT,2026-04-18 13:21:59.603255
DEF0000015,LOAN0014118,2023-06-24,Job Loss,501702.37,40871.43,Written-Off,1321,Doubtful,461442.43,RISK_MANAGEMENT,2026-04-18 13:21:59.603289
DEF0000016,LOAN0005481,2020-04-20,Job Loss,1541539.23,633867.91,Legal Recovery In Progress,1073,Loss,478508.33,RISK_MANAGEMENT,2026-04-18 13:21:59.603325
DEF0000017,LOAN0004557,2024-07-25,Divorce,464099.53,173550.09,Partially Recovered,1128,Substandard,19648.81,RISK_MANAGEMENT,2026-04-18 13:21:59.603363
DEF0000018,LOAN0005551,2022-09-12,Overcommitment,172885.36,35525.68,Written-Off,1762,Doubtful,486180.59,RISK_MANAGEMENT,2026-04-18 13:21:59.603400
DEF0000019,LOAN0017524,2023-12-28,Job Loss,776709.59,162249.66,Legal Recovery In Progress,1398,Doubtful,132270.23,RISK_MANAGEMENT,2026-04-18 13:21:59.603462
DEF0000020,LOAN0015133,2019-11-14,Overcommitment,1858051.61,808937.7,Partially Recovered,419,Doubtful,71488.38,RISK_MANAGEMENT,2026-04-18 13:21:59.603500
DEF0000021,LOAN0016505,2022-01-13,Fraud,1069093.51,109697.41,Sold to Debt Buyer,393,Loss,260522.8,RISK_MANAGEMENT,2026-04-18 13:21:59.603536
DEF0000022,LOAN0013513,2019-04-19,Divorce,197706.3,14307.79,Legal Recovery In Progress,257,Loss,17304.53,RISK_MANAGEMENT,2026-04-18 13:21:59.603572
DEF0000023,LOAN0008388,2020-05-29,Economic Downturn,1039969.56,198927.34,Partially Recovered,1225,Substandard,223549.72,RISK_MANAGEMENT,2026-04-18 13:21:59.603620
DEF0000024,LOAN0014492,2022-07-16,Business Failure,1570273.5,804452.85,Legal Recovery In Progress,1320,Loss,98556.92,RISK_MANAGEMENT,2026-04-18 13:21:59.603664
DEF0000025,LOAN0016780,2022-04-12,Economic Downturn,1210465.54,632744.1,Written-Off,1446,Doubtful,458517.11,RISK_MANAGEMENT,2026-04-18 13:21:59.603700
DEF0000026,LOAN0000380,2019-01-12,Fraud,1454737.24,349631.61,Written-Off,133,Loss,109286.31,RISK_MANAGEMENT,2026-04-18 13:21:59.603737
DEF0000027,LOAN0015315,2021-11-27,Death,1697688.07,149634.05,Legal Recovery In Progress,126,Doubtful,140333.21,RISK_MANAGEMENT,2026-04-18 13:21:59.603774
DEF0000028,LOAN0009965,2023-08-04,Economic Downturn,474841.18,167993.88,Legal Recovery In Progress,1590,Doubtful,237653.87,RISK_MANAGEMENT,2026-04-18 13:21:59.603809
DEF0000029,LOAN0005182,2023-06-01,Unknown,443564.11,176596.92,Partially Recovered,775,Substandard,370550.5,RISK_MANAGEMENT,2026-04-18 13:21:59.603844
DEF0000030,LOAN0017085,2019-10-27,Medical Emergency,992728.69,402589.68,Fully Recovered,896,Doubtful,272888.48,RISK_MANAGEMENT,2026-04-18 13:21:59.603879
DEF0000031,LOAN0005150,2022-03-23,Business Failure,245668.07,75100.08,Legal Recovery In Progress,761,Loss,44822.23,RISK_MANAGEMENT,2026-04-18 13:21:59.603935
DEF0000032,LOAN0005046,2020-01-28,Business Failure,885013.68,188764.54,Partially Recovered,565,Substandard,306363.44,RISK_MANAGEMENT,2026-04-18 13:21:59.603974
DEF0000033,LOAN0010031,2019-09-23,Job Loss,1329282.95,474609.74,Sold to Debt Buyer,1599,Loss,315580.0,RISK_MANAGEMENT,2026-04-18 13:21:59.604010
DEF0000034,LOAN0000033,2020-05-24,Death,204840.85,92818.35,Partially Recovered,1769,Doubtful,349427.36,RISK_MANAGEMENT,2026-04-18 13:21:59.604046
DEF0000035,LOAN0002242,2023-02-13,Overcommitment,1582404.01,804809.82,Written-Off,1625,Loss,348554.0,RISK_MANAGEMENT,2026-04-18 13:21:59.604081
DEF0000036,LOAN0010560,2021-10-29,Divorce,767327.22,211694.32,Partially Recovered,1775,Substandard,332377.47,RISK_MANAGEMENT,2026-04-18 13:21:59.604116
DEF0000037,LOAN0017632,2020-12-15,Overcommitment,500039.11,107970.3,Legal Recovery In Progress,837,Doubtful,305754.28,RISK_MANAGEMENT,2026-04-18 13:21:59.604151
DEF0000038,LOAN0010100,2020-06-26,Business Failure,1335496.04,536296.36,Legal Recovery In Progress,511,Doubtful,208808.09,RISK_MANAGEMENT,2026-04-18 13:21:59.604186
DEF0000039,LOAN0007548,2022-04-19,Fraud,850369.57,54878.24,Legal Recovery In Progress,793,Doubtful,53369.69,RISK_MANAGEMENT,2026-04-18 13:21:59.604221
DEF0000040,LOAN0010082,2023-10-31,Overcommitment,903920.93,107837.08,Sold to Debt Buyer,827,Substandard,305642.49,RISK_MANAGEMENT,2026-04-18 13:21:59.604256
