loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,loan_start_date,loan_end_date,current_balance,loan_status,origination_branch,collateral_type,source_system,record_created_at
LOAN0000001,CUST005799,Vehicle Finance,608057.06,17.13,72,2019-01-23,2024-12-22,0.0,Closed,BR005,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000002,CUST004532,Home Loan,519283.81,9.66,240,2020-01-15,2039-10-02,446107.62,Active,BR007,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000003,CUST002779,Business Loan,4276869.44,19.26,84,2020-04-08,2027-03-03,1774771.23,Active,BR028,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000004,CUST009305,Business Loan,2410679.43,11.14,84,2020-10-30,2027-09-24,924622.33,Active,BR019,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000005,CUST006439,Home Loan,903794.54,9.75,240,2020-12-19,2040-09-05,741678.38,Active,BR047,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000006,CUST003114,Personal Loan,76184.0,25.22,60,2020-04-22,2025-03-27,9455.17,Active,BR030,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000007,CUST003615,Vehicle Finance,767902.1,18.3,72,2021-10-24,2027-09-23,454651.8,Active,BR006,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000008,CUST009686,Home Loan,741677.41,10.11,240,2023-11-05,2043-07-23,696696.24,Active,BR028,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000009,CUST000075,Personal Loan,92742.82,17.77,60,2021-02-09,2026-01-14,28577.36,Active,BR013,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000010,CUST000388,Vehicle Finance,421587.4,17.4,72,2019-01-11,2024-12-10,0.0,Closed,BR005,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000011,CUST005849,Home Loan,2183673.68,11.87,240,2019-04-06,2038-12-22,1685101.41,Active,BR030,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000012,CUST001506,Home Loan,768163.95,10.68,240,2023-11-04,2043-07-22,790061.26,Active,BR024,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000013,CUST000976,Vehicle Finance,508843.44,12.27,72,2021-06-20,2027-05-20,279213.05,Default,BR007,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000014,CUST003610,Vehicle Finance,692636.15,12.62,72,2022-11-09,2028-10-08,427608.42,Active,BR045,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000015,CUST000840,Business Loan,176415.99,16.12,84,2021-12-10,2028-11-03,96645.21,Active,BR032,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
